Full Name,Surname,Identification Type,ID Nationality,ID Number,Passport Number,Address 1,City/Town,Country,Suburb,Postal Code,Proof of address,Contact Number
NOMBULELO,MUYEKO,ID,South Africa,7103180405081,,40 BOTHA STREET,ITSOSENG,South Africa,VERDWAAL,2717,Yes,0842054718
ERNEST,MASOMBUKA,ID,South Africa,7910245264083,,466 MAKIBEZO STREET,VEREENIGING,South Africa,VEREENIGING,1930,Yes,0814781711
LUSSIE,VISAGIE,ID,South Africa,7507110175087,,504 STONEBRIDGE DRIVE,EMALAHLENI,South Africa,VERENA,1086,Yes,0844040744
DUNCAN,JAMA,ID,South Africa,7303155900088,,455 PANDORA STREET,VRYBURG,South Africa,VERGELEE,8622,Yes,0718187845
MALETSHABISA,MOFOKENG,ID,South Africa,6911170313086,,406 GARDENS COURT,VERKEERDEVLEI,South Africa,VERKEERDEVLEI,9401,Yes,0762334711
DONALD,THONISE,ID,South Africa,7201195484081,,54 JACOBSON STREET,HARRISMITH,South Africa,VERKYKERSKOP,9882,Yes,0788043846
MNCEKELELI,MDAKA,ID,South Africa,6704275804087,,65 HULLEY STREET,RIVERSDALE,South Africa,VERMAAKLIKHEID,6671,Yes,0848467767
RITA,DUPREEZ,ID,South Africa,6911290072083,,44608 SECTION D,COLIGNY,South Africa,VERMAAS,2727,Yes,0740647768
AVON,SAMUELS,ID,South Africa,8303225208081,,8 RASCHER STREET,ALBERTON,South Africa,VERWOERDPARK,1453,Yes,0789777718
HLAMARISA,CHAUKE,ID,South Africa,7102160739089,,666 SCOTT AVENUE,MTHATHA,South Africa,VIEDGESVILLE,5102,Yes,0840044716
PAULUS,NCWANG,ID,South Africa,6710265539088,,60888 STAND ST,NTOKOZWENI,South Africa,VIETNAM,4089,Yes,0766316814
BUHLE,HADEBE,ID,South Africa,7212085367088,,60 WILLIAMNICKOL STREET,VILJOENSKROON,South Africa,VILJOENSKROON,9520,Yes,0787777818
PATRICK,NDALA,ID,South Africa,7605195465082,,50445 ASANDA VILLAGE,BOKSBURG,South Africa,VILLA LISA,1479,Yes,0847151844
SICELO,MASHELE,ID,South Africa,6801165741088,,48 TEAK PLACE,MARGATE,South Africa,VILLAGE OF HAPPINESS,4280,Yes,0762474814
TSHWENE,MOKGOHLOA,ID,South Africa,8011050446086,,848 D SECT,VILLIERSDORP,South Africa,VILLIERSDORP,6848,Yes,0816501717
LEANE,LAMPREY,ID,South Africa,6907140036088,,5 AWATSONIA STREET,EAST LONDON,South Africa,VINCENT,5217,Yes,0716484811
ARIA,MOHALE,ID,South Africa,6401040340089,,6A LAVENDER PLACE,UPINGTON,South Africa,VIOOLSDRIF,8246,Yes,0730078741
SUZAN,MOLELEKENG,ID,South Africa,6606200778080,,6605 SIVUKILE,FREE STATE,South Africa,VIRGINIA,9430,Yes,0744753746
THULISILE,SHOZI,ID,South Africa,7109110650084,,66648 DUKUZA STREET,CAPE TOWN,South Africa,VLAEBERG,8018,Yes,0710011711
KOOS,MAHLANGU,ID,South Africa,7101036035086,,48 4ND STREET,VOLKSRUST,South Africa,VLAKPOORT,2491,Yes,0743045843
TELLO,MQWASI,ID,South Africa,6911075825085,,6868 KOMANI HEIGHTS,OUDTSHOORN,South Africa,VLAKTEPLAAS,6631,Yes,0712455783
NICOLETTE,BELL,ID,South Africa,7412010113082,,8 MUSSELCRACKER STREET,STELLENBOSCH,South Africa,VLOTTENBURG,7604,Yes,0711105781
NOMFUNDISO,NONKOBONGO,ID,South Africa,7712170161080,,666 SIYA STREET,UPINGTON,South Africa,VOLLGRAAFFSIG,8824,Yes,0844171784
LESIBA,MMAKO,ID,South Africa,7705095530082,,488 ZONE 40 EXT5,OUDTSHOORN,South Africa,VOLMOED,6624,Yes,0744811845
ADRIANA,ERASMUS,ID,South Africa,7608080057089,,6DE STRAAT 5,WITBANK,South Africa,VOLTARGO,2226,Yes,0765046744
IHSAN,RAJA,ID,South Africa,7409266056189,,465 KINGS GEORGE STREET,CULLINAN,South Africa,VOORUITSTREWEND,1005,Yes,0717334761
THOBISILE,NXUMALO,ID,South Africa,7409050350087,,48 LEGRANGE STREET,HALFWAY HOUSE,South Africa,VORNA VALLEY,1686,Yes,0840144741
ZIBUYILE,NDLOVU,ID,South Africa,8102110551088,,55 SAN MICHEL,VRYBURG,South Africa,VORSTERSHOOP,8615,Yes,0715010761
CLARICE,NKAYITSHANA,ID,South Africa,7112241396080,,66 CONRADIE STREET,DE AAR,South Africa,VOSBURG,8780,Yes,0718115816
ABRAHAM,MANUEL,ID,South Africa,6201265165082,,66 RIETFONTEIN STREET,RUSLOO,South Africa,VOSLOORUS,1486,Yes,0788464740
MASILO,KHUTAMA,ID,South Africa,6506125772087,,55 NYANGA STREET,RUSLOO,South Africa,VOSLOORUS SOUTH,1473,Yes,0740443847
HLEKISILE,KHOZA,ID,South Africa,6108040544087,,66086 MAMELODI EAST,VREDE,South Africa,VREDE,9835,Yes,0814131848
JOSHUA,THOMAS,ID,South Africa,8011105266083,,88B HAY STREET,JOHANNESBURG,South Africa,VREDEDORP,2141,Yes,0816440815
LESTIENNE,OHFOND,ID,South Africa,6411240154081,,605 PEARSON PLACE,VREDEFORT,South Africa,VREDEFORT,9595,Yes,0749744846
CAROL,SIBANYONI,ID,South Africa,8204035367085,,666B LEPELHOUT STREET,VREDENBURG,South Africa,VREDENBURG,7380,Yes,0718711743
